price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
18194.0,2019.0,honda,fit,good,4 cylinders,gas,33662.0,clean,automatic,fwd,full-size,wagon,silver,ak
29995.0,2014.0,chevrolet,camaro 2ss 6-spd,excellent,8 cylinders,gas,39094.0,clean,manual,rwd,full-size,coupe,red,ak
16499.0,2018.0,toyota,corolla le,excellent,4 cylinders,gas,31108.0,clean,automatic,fwd,mid-size,sedan,grey,ak
1100.0,2001.0,chrysler,town and country awd,fair,6 cylinders,gas,90708.0,clean,automatic,4wd,full-size,mini-van,white,ak
26900.0,2008.0,toyota,fj cruiser,good,6 cylinders,gas,153018.0,clean,automatic,4wd,full-size,SUV,grey,ak
15900.0,2014.0,honda,cr-v,good,6 cylinders,gas,151500.0,clean,automatic,4wd,full-size,SUV,brown,ak
16194.0,2016.0,chrysler,town & country,good,6 cylinders,gas,72174.0,clean,automatic,fwd,full-size,van,blue,ak
37995.0,2013.0,ram,cummins,like new,6 cylinders,diesel,131674.0,clean,manual,4wd,full-size,truck,silver,ak
23975.0,2015.0,mercedes-benz,cla250 4matic awd,good,6 cylinders,gas,53348.0,clean,automatic,4wd,full-size,sedan,white,ak
14999.0,2016.0,volkswagen,jetta sport,good,4 cylinders,gas,71612.0,clean,automatic,fwd,mid-size,sedan,grey,ak
9595.0,2013.0,ford,escape,good,4 cylinders,gas,161527.0,clean,automatic,4wd,full-size,SUV,silver,ak
45995.0,2018.0,gmc,sierra denali,excellent,8 cylinders,gas,59453.0,clean,automatic,4wd,full-size,truck,white,ak
33995.0,2016.0,audi,a7 premium plus awd,excellent,6 cylinders,gas,64917.0,clean,automatic,4wd,full-size,hatchback,silver,ak
9900.0,2007.0,dodge,dakota,good,6 cylinders,gas,136151.0,clean,other,4wd,full-size,truck,red,ak
24995.0,2013.0,ford,f-250,good,6 cylinders,other,101462.0,clean,automatic,4wd,full-size,pickup,red,ak
10999.0,2009.0,cadillac,cts,good,6 cylinders,gas,126448.0,clean,automatic,4wd,full-size,sedan,black,ak
26999.0,2012.0,ford,f150 supercrew cab,good,6 cylinders,gas,102325.0,clean,automatic,4wd,full-size,pickup,silver,ak
25999.0,2014.0,ford,f-150 stx,good,8 cylinders,gas,116773.0,clean,automatic,4wd,full-size,truck,silver,ak
27995.0,2019.0,jeep,compass,good,4 cylinders,gas,16919.0,clean,automatic,4wd,full-size,SUV,white,ak
55995.0,2019.0,audi,sq5 prestige awd,excellent,6 cylinders,gas,4806.0,clean,automatic,4wd,full-size,SUV,black,ak
10995.0,2002.0,chevrolet,astro van,good,6 cylinders,gas,108539.0,clean,automatic,4wd,full-size,van,white,ak
20991.0,2017.0,kia,niro,good,4 cylinders,hybrid,47716.0,clean,automatic,fwd,full-size,wagon,red,ak
